/*
:xlim 0 30
:polyfit 2
:label
周波数f[Hz] 	電流I[A]	回転数N	cosΦ*20[%]*/
40	4.6	1105	400
42	3.95	1162	383
44	3.43	1220	367
46	3.09	1266	366
48	2.7	1331	346
50	2.48	1380	349
52	2.27	1440	346
54	2.07	1508	346
56	1.97	1548	340
58	1.88	1587	344
60	1.77	1643	333
/*
:x 1 2
:y 2 3
*/
